date,Open,High,Low,Close,Volume,20_MA,50_MA,Upper_Band,Lower_Band
2025-01-24,198.1,200.9,198.0,200.21,23877521.0,,,,
2025-01-23,198.14,200.3,195.2,197.98,26951357.0,,,,
2025-01-22,199.06,200.48,197.53,198.37,26200617.0,,,,
2025-01-21,199.07,202.29,197.87,198.05,29971292.0,,,,
2025-01-17,196.53,197.23,193.75,196.0,27735089.0,,,,
2025-01-16,194.14,195.48,192.81,192.91,17815432.0,,,,
2025-01-15,193.09,196.36,191.86,195.55,21775969.0,,,,
2025-01-14,191.24,191.98,188.3082,189.66,17174854.0,,,,
2025-01-13,190.07,191.18,187.36,191.01,21823699.0,,,,
2025-01-10,194.295,196.52,190.31,192.04,26665206.0,,,,
2025-01-08,192.57,196.29,192.38,193.95,24864766.0,,,,
2025-01-07,197.11,201.0,194.6,195.49,26487244.0,,,,
2025-01-06,193.98,198.2222,193.85,196.87,29563638.0,,,,
2025-01-03,191.37,193.21,189.975,191.79,18596159.0,,,,
2025-01-02,190.65,192.0,187.5,189.43,20370828.0,,,,
2024-12-31,191.075,191.96,188.51,189.3,17466919.0,,,,
2024-12-30,189.8,192.55,189.12,191.24,14264659.0,,,,
2024-12-27,194.95,195.32,190.65,192.76,18891362.0,,,,
2024-12-26,195.15,196.748,194.375,195.6,12057210.0,,,,
2024-12-24,194.84,196.11,193.78,196.11,10403259.0,194.216,,200.74793740905326,187.68406259094675
2024-12-23,192.62,195.1,190.15,194.63,25675014.0,193.93699999999998,,199.83706280073622,188.03693719926375
2024-12-20,185.78,192.89,185.22,191.41,63462934.0,193.6085,,199.28824526856525,187.92875473143474
2024-12-19,191.625,193.03,188.38,188.51,32265241.0,193.1155,,198.7666665307169,187.4643334692831
2024-12-18,195.22,197.0,187.74,188.4,34166074.0,192.63299999999998,,198.15663381537152,187.10936618462844
2024-12-17,197.25,201.42,194.98,195.42,43504025.0,192.60399999999998,,198.0588651389572,187.14913486104277
2024-12-16,192.87,199.0,192.62,196.66,44934901.0,192.79149999999998,,198.54051831436877,187.0424816856312
2024-12-13,191.01,192.73,189.64,189.82,25143495.0,192.505,,198.24630188793634,186.76369811206365
2024-12-12,195.0,195.18,191.71,191.96,34817486.0,192.62,,198.21154625069707,187.02845374930294
2024-12-11,185.31,195.61,184.85,195.4,67894071.0,192.83950000000002,,198.50905479547978,187.16994520452025
2024-12-10,182.845,186.36,181.05,185.17,54813022.0,192.49599999999998,,199.12139738629435,185.8706026137056
2024-12-09,173.96,176.26,173.65,175.37,25389631.0,191.567,,201.64491143776175,181.48908856223827
2024-12-06,172.03,175.08,171.86,174.71,21462393.0,190.52800000000002,,202.92161907128872,178.13438092871132
2024-12-05,175.36,176.06,172.33,172.64,21356243.0,189.3165,,203.6802955327018,174.9527044672982
2024-12-04,171.145,174.91,171.06,174.37,31615137.0,188.44549999999998,,204.22103265428194,172.66996734571802
2024-12-03,171.49,172.68,170.85,171.34,22248705.0,187.541,,205.05722874575702,170.02477125424298
2024-12-02,168.765,172.075,168.57,171.49,23789084.0,186.6505,,205.5467123467279,167.7542876532721
2024-11-29,168.5,169.43,167.16,168.95,14257244.0,185.536,,205.86730580630459,165.20469419369542
2024-11-27,169.0,169.4832,168.02,169.23,19266511.0,184.3595,,205.63209613483485,163.08690386516514
2024-11-26,167.63,169.82,167.58,169.12,20486720.0,183.0355,,204.65576288851324,161.4152371114868
2024-11-25,166.09,168.63,165.6072,167.65,33135263.0,181.6125,,203.35545953805934,159.8695404619407
