date,Open,High,Low,Close,Volume,20_MA,50_MA,Upper_Band,Lower_Band
2025-01-24,445.16,446.65,441.4,444.06,15549453.0,,,,
2025-01-23,442.0,446.75,441.5048,446.71,18389270.0,,,,
2025-01-22,437.56,447.27,436.0,446.2,27803811.0,,,,
2025-01-21,430.2,430.8999,425.595,428.5,26085703.0,,,,
2025-01-17,434.085,434.48,428.17,429.03,26197507.0,,,,
2025-01-16,428.695,429.49,424.39,424.58,15300023.0,,,,
2025-01-15,419.13,428.15,418.265,426.31,19637838.0,,,,
2025-01-14,417.81,419.74,410.72,415.67,16935856.0,,,,
2025-01-13,415.235,418.5,412.29,417.19,17604780.0,,,,
2025-01-10,424.63,424.71,415.02,418.95,20201132.0,,,,
2025-01-08,423.46,426.97,421.54,424.56,15054575.0,,,,
2025-01-07,429.0,430.65,420.8,422.37,18139065.0,,,,
2025-01-06,428.0,434.32,425.4774,427.85,20573648.0,,,,
2025-01-03,421.08,424.03,419.54,423.35,16662943.0,,,,
2025-01-02,425.53,426.07,414.85,418.58,16896469.0,,,,
2024-12-31,426.1,426.73,420.66,421.5,13246509.0,,,,
2024-12-30,426.06,427.55,421.9,424.83,13158703.0,,,,
2024-12-27,434.6,435.22,426.35,430.53,18117713.0,,,,
2024-12-26,439.08,440.94,436.63,438.11,8199927.0,,,,
2024-12-24,434.65,439.6,434.19,439.33,7164543.0,428.41049999999996,,447.5812073421926,409.2397926578073
2024-12-23,436.74,437.65,432.83,435.25,19152519.0,427.96999999999997,,445.99741888288355,409.9425811171164
2024-12-20,433.11,443.74,428.63,436.6,64263694.0,427.46450000000004,,443.7634886350754,411.16551136492467
2024-12-19,441.62,443.1834,436.32,437.03,22963681.0,427.006,,441.50207046572854,412.5099295342714
2024-12-18,451.32,452.65,437.02,437.39,24444545.0,427.45050000000003,,442.66676619253576,412.2342338074643
2024-12-17,451.01,455.29,449.57,454.46,22733494.0,428.72200000000004,,448.1586670307221,409.285332969278
2024-12-16,447.27,452.18,445.28,451.59,23598834.0,430.07250000000005,,451.90336359407615,408.24163640592394
2024-12-13,448.435,451.43,445.58,447.27,20177833.0,431.1205,,454.16927160786616,408.0717283921338
2024-12-12,449.11,456.1648,449.11,449.56,20834779.0,432.81499999999994,,456.0632642249627,409.56673577503716
2024-12-11,444.05,450.35,444.05,448.99,19200208.0,434.40500000000003,,457.50303591559026,411.3069640844098
2024-12-10,444.39,449.62,441.6,443.33,18469459.0,435.62399999999997,,457.84440731068247,413.40359268931746
2024-12-09,442.6,448.33,440.5,446.02,19144388.0,436.697,,458.73970505894846,414.65429494105155
2024-12-06,442.3,446.1,441.7703,443.57,18821002.0,437.75699999999995,,458.92021147652224,416.59378852347766
2024-12-05,437.92,444.66,436.171,442.62,21697775.0,438.4955,,459.22955383471975,417.76144616528023
2024-12-04,433.03,439.67,432.63,437.42,26009429.0,439.19899999999996,,458.686658604736,419.7113413952639
2024-12-03,429.84,432.47,427.74,431.2,18301987.0,439.8299999999999,,457.2098407115226,422.45015928847727
2024-12-02,421.57,433.0,421.31,430.98,20207223.0,440.304,,456.0160113624143,424.59198863758564
2024-11-29,420.09,424.88,417.8,423.46,16271921.0,440.23549999999994,,456.2407721248181,424.2302278751818
2024-11-27,425.105,427.2299,422.02,422.99,18332444.0,439.8585,,457.131353389366,422.585646610634
2024-11-26,419.585,429.0414,418.85,427.99,23458889.0,439.35249999999996,,457.4158550243815,421.28914497561846
2024-11-25,418.38,421.08,414.85,418.79,27691090.0,438.32550000000003,,458.5951251620629,418.05587483793715
2024-11-22,411.365,417.4,411.06,417.0,24814626.0,437.413,,459.79832987660035,415.0276701233997
2024-11-21,419.5,419.78,410.2887,412.87,20780162.0,436.22649999999993,,461.1633949023013,411.28960509769854
2024-11-20,416.87,417.29,410.58,415.49,19191655.0,435.1495,,461.7456599721306,408.55334002786935
2024-11-19,413.11,417.94,411.55,417.79,18133529.0,434.16949999999997,,461.8407432718613,406.49825672813864
2024-11-18,414.87,418.4037,412.1,415.76,24742013.0,432.2345,,459.3381408313679,405.1308591686321
2024-11-15,419.82,422.8,413.64,415.0,28247644.0,430.40500000000003,,456.9413151370464,403.86868486295367
2024-11-14,425.0,428.17,420.0,426.89,30246881.0,429.38599999999997,,454.73408569539436,404.0379143046056
2024-11-13,421.64,429.325,418.21,425.2,21502185.0,428.168,,451.7112758083806,404.6247241916194
2024-11-12,418.25,424.44,417.2,423.03,19401204.0,426.87,,448.3519630583918,405.3880369416082
2024-11-11,422.515,424.81,416.0,418.01,24503321.0,425.604,430.43519999999995,445.9562551705289,405.2517448294711
2024-11-08,425.32,426.5,421.78,422.54,16891414.0,424.43,430.00479999999993,442.3921086559576,406.4678913440424
2024-11-07,421.28,426.85,419.88,425.43,19901782.0,423.523,429.57919999999996,439.08770244191226,407.9582975580878
2024-11-06,412.42,420.45,410.52,420.18,26681842.0,422.401,429.05879999999996,435.14988956980824,409.6521104301918
2024-11-05,408.37,414.9,408.08,411.46,17626011.0,421.10299999999995,428.71799999999996,432.6421910689754,409.5638089310245
2024-11-04,409.8,410.415,405.5713,408.46,19672286.0,419.966,428.30659999999995,431.7938625554911,408.1381374445089
2024-11-01,409.01,415.5,407.5,410.37,24230442.0,418.93549999999993,428.02240000000006,430.30539094055035,407.5656090594495
2024-10-31,415.36,416.16,406.3,406.35,53970981.0,418.08000000000004,427.6232,430.53910869499487,405.6208913050052
2024-10-30,437.435,438.5,432.1,432.53,29749149.0,418.55699999999996,427.96039999999994,432.4550000075743,404.6589999924256
2024-10-29,428.0,433.17,425.8001,431.95,17644080.0,418.755,428.25559999999996,433.3158725880809,404.1941274119191
